loan_id,age,gender,marital_status,education,self_employed,num_dependents,employment_years,income_annual,loan_amount,loan_term_months,loan_purpose,credit_score,existing_loans,residential_assets,commercial_assets,bank_balance,monthly_expenses,property_area,loan_status,unnamed_col,row_number,random_notes
1216,22.0,Female,married,Graduate,yes,1,12.0,65124.0,487209.0,36,Business,395.0,4,651240,349392.0,52584.0,39584.0,Semiurban,Rejected,,1215,N/A
1394,,Female,Married,Grad,Yes,0,4.0,72709.0,277126.0,48,Home,651.0,1,912365,59766.0,150450.0,39072.0,urban,Approved,,1393,
1513,44.0,Female,Single,Graduate,NO,4,28.0,66705.0,38800.0,48,Business,500.0,3,476986,92969.0,166306.0,33141.0,Rural,Approved,,1512,
4344,52.0,female,Single,Graduate,Y,0,28.0,157852.0,131998.0,36,Home,558.0,4,826777,47841.0,40627.0,38132.0,RURAL,Approved,,4343,
3619,38.0,,divorced,Not Graduate,YES,0,5.0,48067.0,279947.0,84,Home,430.0,1,175564,,132755.0,,RURAL,Rejected,,3618,none
1962,32.0,M,,graduate,Yes,2,11.0,125586.0,340732.0,48,Personal,833.0,0,530839,221157.0,194799.0,37799.0,Urban,Approved,,1961,N/A
234,40.0,male,Divorced,graduate,,5,8.0,97506.0,229402.0,60,Business,800.0,1,623546,478744.0,225492.0,48404.0,Semiurban,Approved,,233,
3804,51.0,female,married,NOT GRADUATE,no,1,13.0,38263.0,20675.0,24,Personal,633.0,4,839336,389856.0,218326.0,19903.0,Rural,Approved,,3803,
3816,,MALE,Divorced,Graduate,Y,5,,29795.0,466294.0,120,Education,811.0,3,380753,344576.0,26126.0,36079.0,Semiurban,Rejected,,3815,check
4055,39.0,,SINGLE,Post Graduate,YES,1,21.0,,122159.0,36,Personal,424.0,3,285049,190066.0,162049.0,6529.0,Urban,Approved,,4054,
5154,,male,SINGLE,graduate,yes,5,9.0,71370.0,246452.0,48,Medical,772.0,2,122250,439486.0,248804.0,23543.0,urban,Approved,,5153,none
347,43.0,FEMALE,divorced,Graduate,Y,2,4.0,29265.0,219601.0,48,Personal,563.0,2,408108,395127.0,,13459.0,semi-urban,Rejected,,346,N/A
2064,33.0,MALE,divorced,Not Graduate,YES,4,25.0,157866.0,,120,home,780.0,3,751653,227511.0,297771.0,33051.0,urban,Approved,,2063,
2035,26.0,,Single,Post Graduate,NO,5,0.0,,133824.0,12,Education,443.0,0,669193,306880.0,29444.0,34677.0,Rural,Approved,,2034,check
2928,39.0,male,Single,Grad,no,1,0.0,79846.0,32219.0,36,Home,590.0,3,647720,145423.0,4279.0,,Rural,Rejected,,2927,none
577,62.0,,divorced,Graduate,no,4,6.0,75830.0,400215.0,36,Home,753.0,3,492446,405335.0,39873.0,40016.0,Urban,Approved,,576,
1057,46.0,MALE,divorced,Grad,no,1,4.0,155451.0,425615.0,84,Personal,824.0,4,544597,173804.0,239888.0,49702.0,semi-urban,Approved,,1056,N/A
3541,51.0,MALE,Single,Not Graduate,NO,1,20.0,28749.0,214614.0,48,Education,591.0,4,542960,332598.0,180497.0,46188.0,Urban,Rejected,,3540,
3405,37.0,FEMALE,divorced,Grad,N,1,,146913.0,428796.0,60,Medical,585.0,4,236164,187595.0,288030.0,29122.0,Urban,Approved,,3404,N/A
1635,61.0,MALE,SINGLE,Post Graduate,N,4,16.0,80726.0,137994.0,36,EDUCATION,313.0,4,561229,364540.0,44746.0,27190.0,semi-urban,Approved,,1634,check
1923,34.0,female,Divorced,Grad,No,1,,5596012.0,100815.0,12,Home,658.0,2,964399,449255.0,249394.0,17030.0,Semiurban,Approved,,1922,
545,51.0,MALE,,Not Graduate,Yes,0,3.0,100859.0,225511.0,84,home,675.0,1,902871,325776.0,,19458.0,semi-urban,Approved,,544,N/A
1826,61.0,FEMALE,married,Graduate,YES,5,4.0,195400.0,275728.0,48,EDUCATION,667.0,2,208131,293588.0,263731.0,32970.0,Rural,Approved,,1825,N/A
1954,63.0,male,Married,NOT GRADUATE,yes,0,9.0,137116.0,175881.0,36,Medical,502.0,4,425243,255460.0,36210.0,33468.0,urban,Approved,,6107,N/A
5714,,M,Married,graduate,NO,5,0.0,89000.0,72388.0,84,Business,,0,851423,317733.0,154219.0,5917.0,Semiurban,Approved,,5713,
3760,51.0,MALE,,Post Graduate,No,4,18.0,185640.0,454199.0,84,Education,762.0,4,160278,132266.0,59060.0,11600.0,Urban,Approved,,3759,none
707,30.0,MALE,,graduate,Yes,4,8.0,97004.0,220530.0,60,Medical,670.0,4,938354,,154923.0,46928.0,Urban,Approved,,706,
3938,49.0,F,married,Graduate,No,3,9.0,115918.0,113049.0,36,Business,543.0,1,812862,226239.0,158215.0,36374.0,RURAL,Approved,,3937,
5895,44.0,Female,divorced,Graduate,N,0,24.0,194443.0,69057.0,120,Medical,721.0,2,881445,248989.0,52803.0,12549.0,semi-urban,Approved,,5894,none
4378,41.0,male,married,Grad,N,4,5.0,81394.0,279843.0,36,EDUCATION,331.0,1,438326,70141.0,72643.0,14087.0,urban,Approved,,4377,N/A
5981,33.0,female,married,graduate,NO,0,21.0,199115.0,171234.0,120,home,448.0,2,743189,296188.0,46049.0,26235.0,semi-urban,Approved,,5980,check
4881,51.0,MALE,Divorced,Post Graduate,yes,2,9.0,,224184.0,48,Business,744.0,0,682493,433009.0,202695.0,,RURAL,Approved,,4880,
126,23.0,FEMALE,Divorced,NOT GRADUATE,no,1,4.0,59255.0,23013.0,60,Medical,423.0,1,519286,177500.0,22427.0,42982.0,Semiurban,Approved,,6032,check
1075,62.0,,SINGLE,Not Graduate,No,5,4.0,105092.0,171797.0,60,Medical,304.0,2,818009,170325.0,262847.0,29745.0,Urban,Approved,,1074,
4084,,F,Single,Grad,yes,1,3.0,73024.0,472854.0,36,home,319.0,3,774866,228627.0,218948.0,43505.0,urban,Rejected,,4083,none
3406,53.0,F,married,Post Graduate,no,1,10.0,164613.0,96685.0,84,Business,698.0,4,574536,188247.0,236872.0,34131.0,Urban,Approved,,3405,N/A
1346,41.0,M,divorced,Not Graduate,,1,13.0,182285.0,414470.0,120,home,681.0,2,411650,381653.0,,6050.0,urban,Approved,,1345,check
1420,52.0,male,SINGLE,Not Graduate,Y,5,19.0,199845.0,423754.0,84,home,317.0,1,593789,,170696.0,7564.0,Urban,Approved,,1419,check
4590,32.0,,married,NOT GRADUATE,Y,2,18.0,119644.0,332985.0,24,Home,,1,446829,489876.0,113495.0,21394.0,Semiurban,Approved,,4589,none
1621,53.0,Female,married,Grad,no,5,25.0,87819.0,175100.0,12,Business,,2,329329,482263.0,247470.0,17582.0,Semiurban,Approved,,1620,
2487,37.0,F,married,Grad,NO,3,22.0,195215.0,84522.0,48,Medical,930.0,2,847522,217830.0,229484.0,17247.0,Semiurban,Approved,,2486,N/A
2917,45.0,,Married,Not Graduate,NO,1,9.0,164966.0,64799.0,12,Home,494.0,3,744127,19069.0,124037.0,11279.0,urban,Approved,,2916,
3319,42.0,FEMALE,Divorced,Graduate,Y,2,,50984.0,168571.0,120,Home,701.0,2,132973,,229072.0,8836.0,Semiurban,Approved,,3318,check
2458,28.0,male,married,Grad,yes,3,,186353.0,204803.0,60,Personal,474.0,2,863666,184861.0,66642.0,29592.0,semi-urban,Approved,,2457,
2903,41.0,male,,Post Graduate,No,2,29.0,174404.0,9454.0,12,Education,384.0,3,388528,232715.0,197342.0,,Rural,Approved,,2902,
1040,22.0,Female,Divorced,Grad,YES,4,3.0,55450.0,325692.0,12,Personal,588.0,0,406096,333487.0,208658.0,35987.0,semi-urban,Approved,,1039,N/A
4516,57.0,FEMALE,Divorced,Not Graduate,Yes,5,9.0,119404.0,404605.0,24,Education,691.0,3,969469,371425.0,240800.0,20569.0,Semiurban,Approved,,4515,
2523,45.0,M,divorced,graduate,no,4,,184052.0,499775.0,120,EDUCATION,622.0,4,34620,416975.0,132137.0,28128.0,Semiurban,Approved,,2522,
1500,29.0,,Married,Grad,yes,3,18.0,133034.0,427757.0,84,Education,737.0,0,767417,276304.0,280710.0,40577.0,Urban,Approved,,1499,
743,54.0,Male,SINGLE,Graduate,Y,4,3.0,76117.0,169361.0,24,Medical,329.0,0,53405,192118.0,284066.0,20762.0,Semiurban,Approved,,742,
5742,58.0,female,Divorced,NOT GRADUATE,N,2,13.0,101588.0,344805.0,12,home,699.0,4,110253,259039.0,269468.0,23848.0,Semiurban,Approved,,5741,
5829,59.0,M,married,Grad,YES,3,20.0,32809.0,55859.0,24,Home,364.0,4,317255,8303.0,190103.0,34070.0,urban,Rejected,,5828,
5420,25.0,M,Divorced,NOT GRADUATE,Y,5,17.0,173048.0,488941.0,120,EDUCATION,706.0,4,377573,234037.0,97855.0,38238.0,Rural,Approved,,5419,
5639,33.0,Male,divorced,NOT GRADUATE,Yes,2,0.0,160777.0,324216.0,120,home,552.0,0,192285,174132.0,28788.0,39176.0,Semiurban,Approved,,5638,N/A
4653,30.0,M,Single,graduate,No,0,24.0,189103.0,40575.0,60,Education,542.0,2,246231,195271.0,191466.0,44965.0,RURAL,Approved,,4652,N/A
2481,52.0,male,divorced,Grad,no,4,8.0,,364571.0,84,Home,564.0,0,736454,381146.0,275534.0,49862.0,RURAL,Approved,,2480,
1865,26.0,male,SINGLE,Graduate,yes,0,26.0,46498.0,366273.0,36,Medical,632.0,4,921524,82425.0,286523.0,34263.0,urban,Rejected,,1864,
3429,44.0,male,Married,Post Graduate,N,1,26.0,176097.0,280001.0,84,home,620.0,3,887225,409364.0,,8181.0,Rural,Approved,,3428,none
2654,54.0,,SINGLE,Not Graduate,Y,2,3.0,54268.0,427643.0,84,Medical,506.0,0,342460,359605.0,244095.0,37342.0,Urban,Approved,,2653,
1145,49.0,FEMALE,divorced,NOT GRADUATE,YES,4,1.0,124234.0,98616.0,24,Education,640.0,1,571185,369862.0,2305.0,30771.0,semi-urban,Approved,,1144,
3526,24.0,F,Single,graduate,yes,2,24.0,21312.0,315084.0,12,EDUCATION,767.0,4,28279,225116.0,184952.0,26882.0,RURAL,Rejected,,3525,
81,44.0,female,Divorced,Graduate,NO,3,16.0,157046.0,76158.0,12,Education,419.0,2,801348,331778.0,102982.0,34570.0,Urban,Approved,,80,
4884,28.0,M,Divorced,graduate,NO,0,21.0,62623.0,180778.0,84,EDUCATION,574.0,3,527951,157791.0,167741.0,35762.0,semi-urban,Approved,,4883,none
4819,,MALE,Divorced,Grad,yes,1,,140832.0,103831.0,12,Business,365.0,0,191298,264544.0,130130.0,14208.0,semi-urban,Approved,,4818,
5577,38.0,M,divorced,NOT GRADUATE,YES,5,3.0,124679.0,442734.0,12,EDUCATION,394.0,4,817423,461631.0,63322.0,5075.0,semi-urban,Rejected,,5576,
1787,43.0,FEMALE,Married,Graduate,YES,1,2.0,64565.0,354355.0,48,Home,365.0,2,405174,360964.0,111858.0,32922.0,RURAL,Rejected,,1786,
5097,40.0,female,Single,Grad,No,0,22.0,113590.0,422942.0,24,Business,341.0,0,696314,182255.0,151164.0,6247.0,RURAL,Approved,,5096,N/A
961,21.0,female,married,Grad,Y,2,20.0,51625.0,377107.0,36,Business,768.0,2,552255,280106.0,135825.0,6698.0,Urban,Approved,,960,
2756,47.0,Female,Single,graduate,YES,4,23.0,66936.0,262320.0,60,Personal,374.0,0,649884,260192.0,219112.0,48747.0,urban,Approved,,2755,N/A
5520,40.0,FEMALE,married,Grad,Y,5,10.0,114594.0,23371.0,36,Home,675.0,1,144322,268030.0,96195.0,6158.0,Rural,Approved,,5519,check
80,38.0,male,SINGLE,Not Graduate,No,4,7.0,23729.0,304967.0,12,Medical,436.0,0,258199,362927.0,61357.0,46625.0,semi-urban,Rejected,,79,
1567,34.0,,Married,Graduate,,4,28.0,53785.0,57181.0,120,Personal,639.0,4,489941,494619.0,83870.0,45760.0,Urban,Approved,,1566,none
1570,32.0,MALE,,graduate,Y,4,,27170.0,86219.0,36,EDUCATION,752.0,1,974003,,288392.0,49967.0,Rural,Approved,,1569,
2167,24.0,,Married,Grad,NO,2,14.0,107362.0,412479.0,60,Education,844.0,0,269782,419722.0,11615.0,37682.0,urban,Approved,,2166,
713,21.0,Female,Divorced,Post Graduate,Yes,1,28.0,99795.0,,120,Medical,675.0,2,988995,90958.0,241476.0,23692.0,Urban,Approved,,712,check
1085,43.0,F,SINGLE,Not Graduate,No,0,17.0,,101359.0,48,Medical,501 pts,3,434625,,14944.0,26607.0,Urban,Approved,,1084,N/A
1331,50.0,,,Not Graduate,NO,1,2.0,158266.0,231597.0,12,Personal,429.0,2,704295,1497.0,192718.0,22236.0,urban,Rejected,,1330,
24,,Female,SINGLE,Grad,No,4,5.0,,231293.0,48,Personal,431.0,2,647218,485117.0,280842.0,47212.0,semi-urban,Approved,,23,N/A
3408,28.0,M,married,Not Graduate,yes,2,8.0,170453.0,,12,EDUCATION,738.0,1,163149,221850.0,156976.0,6733.0,Urban,Approved,,3407,check
3780,41.0,M,Divorced,graduate,NO,0,15.0,167937.0,89437.0,12,EDUCATION,711.0,2,523587,483594.0,222290.0,29711.0,RURAL,Approved,,3779,
4373,33.0,,married,Post Graduate,Y,4,2.0,70613.0,314454.0,36,Business,602.0,1,381840,224269.0,221007.0,,Rural,Approved,,4372,none
4127,27.0,male,Divorced,Not Graduate,Y,0,9.0,62321.0,,48,Home,445.0,2,114379,123006.0,226650.0,42089.0,Semiurban,Approved,,4126,none
5473,22.0,M,Married,NOT GRADUATE,no,3,9.0,110415.0,85520.0,48,home,648.0,4,193170,192456.0,107457.0,46918.0,RURAL,Approved,,5472,check
4162,55.0,MALE,married,Post Graduate,YES,1,26.0,30073.0,212940.0,12,Medical,684.0,1,615464,74244.0,128314.0,8369.0,semi-urban,Approved,,4161,none
4991,31.0,FEMALE,Married,Post Graduate,N,2,0.0,49550.0,208729.0,120,Medical,837.0,0,794446,90758.0,148602.0,41060.0,Urban,Rejected,,4990,none
1262,54.0,Female,,Graduate,YES,1,13.0,111288.0,86196.0,48,Personal,449.0,3,940417,,166174.0,37875.0,Semiurban,Approved,,1261,N/A
5390,,,Single,Graduate,,1,14.0,181848.0,273617.0,120,Business,629.0,1,620017,447800.0,248166.0,18049.0,urban,Approved,,5389,N/A
1439,50.0,M,Married,graduate,No,1,1.0,196600.0,31119.0,36,home,531.0,0,560572,52957.0,222623.0,43059.0,RURAL,Approved,,1438,
1770,48.0,MALE,divorced,Grad,no,3,13.0,81715.0,,60,Home,360.0,3,875169,302935.0,156650.0,14736.0,Semiurban,Rejected,,1769,N/A
5004,42.0,Male,Single,Not Graduate,YES,5,2.0,99303.0,184541.0,36,Home,,4,335483,476022.0,24077.0,30201.0,Urban,Approved,,5003,none
4105,25.0,MALE,Married,Grad,Yes,0,27.0,122192.0,223339.0,48,home,506.0,2,240795,304400.0,188864.0,19378.0,semi-urban,Approved,,4104,none
554,43.0,female,married,graduate,Y,5,28.0,149716.0,401681.0,36,Medical,708.0,3,967750,193143.0,232756.0,34540.0,RURAL,Approved,,553,none
229,56.0,female,Divorced,graduate,Yes,5,28.0,115865.0,188000.0,24,Home,816.0,3,301784,251115.0,97178.0,35690.0,RURAL,Approved,,228,
4289,38.0,FEMALE,Single,graduate,No,0,20.0,43572.0,379817.0,12,home,474.0,3,264199,250583.0,46679.0,25544.0,Urban,Rejected,,4288,N/A
3947,55.0,,Divorced,Graduate,N,2,12.0,,263946.0,12,EDUCATION,358.0,0,787018,355682.0,195947.0,15479.0,semi-urban,Approved,,3946,N/A
2478,25.0,M,Divorced,Not Graduate,No,4,13.0,117469.0,475328.0,24,EDUCATION,761.0,3,845863,169766.0,81422.0,44886.0,urban,Approved,,2477,
3932,34.0,M,divorced,Post Graduate,No,3,19.0,169962.0,37735.0,84,Medical,367.0,2,148765,138884.0,142940.0,,Rural,Approved,,3931,N/A
2432,21.0,M,Divorced,graduate,YES,2,20.0,,369462.0,12,Business,746.0,3,727808,498873.0,218754.0,32517.0,urban,Approved,,2431,N/A
2330,32.0,male,SINGLE,Grad,,1,13.0,124263.0,144148.0,120,Education,401.0,4,978152,125535.0,116614.0,46946.0,urban,Approved,,2329,check
806,34.0,MALE,married,NOT GRADUATE,YES,4,28.0,115965.0,106131.0,120,Medical,576.0,2,139130,91837.0,114262.0,12707.0,urban,Approved,,805,
5446,31.0,MALE,SINGLE,Post Graduate,,4,6.0,173047.0,38368.0,60,home,585.0,0,839090,352083.0,231240.0,10430.0,Urban,Approved,,5445,check
5890,24.0,F,Divorced,Post Graduate,Y,5,6.0,,273362.0,120,Business,747.0,3,124372,41303.0,181656.0,20230.0,Urban,Approved,,5889,
3809,36.0,M,Married,NOT GRADUATE,No,4,26.0,46745.0,94049.0,12,Home,334.0,4,933777,346159.0,208829.0,44146.0,RURAL,Rejected,,3808,
3488,33.0,M,married,Post Graduate,N,2,16.0,5873290.0,134745.0,48,Business,485.0,1,486936,68667.0,16438.0,,Semiurban,Approved,,3487,none
38,27.0,MALE,divorced,Not Graduate,N,5,24.0,48379.0,217139.0,120,Business,761.0,4,574371,431061.0,294832.0,31828.0,urban,Rejected,,37,N/A
1515,58.0,Male,SINGLE,Grad,no,1,,177828.0,163502.0,48,Medical,656.0,0,691731,53325.0,121437.0,10933.0,Semiurban,Approved,,1514,none
2405,41.0,Female,Married,Post Graduate,No,1,29.0,151001.0,45108.0,12,Business,607.0,1,69184,372214.0,82596.0,44043.0,RURAL,Approved,,2404,
3382,64.0,,,NOT GRADUATE,YES,0,29.0,138104.0,264383.0,36,Home,695.0,0,322837,226211.0,247327.0,11710.0,Rural,Approved,,3381,
5579,34.0,female,married,graduate,Yes,2,,89212.0,54456.0,48,home,698.0,1,485809,498177.0,115208.0,17635.0,urban,Approved,,6112,none
3253,61.0,Male,,Graduate,no,5,9.0,53892.0,85591.0,24,Home,436.0,4,540761,318436.0,143926.0,19523.0,Rural,Approved,,3252,N/A
3168,59.0,male,divorced,Grad,no,5,21.0,36940.0,310319.0,60,Education,522.0,4,412041,238948.0,137397.0,24176.0,semi-urban,Rejected,,3167,check
3561,39.0,,SINGLE,Graduate,Yes,0,15.0,32120.0,95709.0,84,Home,367.0,0,22710,59667.0,71922.0,35055.0,semi-urban,Rejected,,3560,none
3064,57.0,F,Divorced,Not Graduate,YES,1,,81416.0,191670.0,36,Medical,796.0,3,76524,216086.0,140885.0,30165.0,RURAL,Approved,,3063,N/A
880,50.0,female,SINGLE,NOT GRADUATE,No,1,5.0,164821.0,321304.0,48,Business,453.0,2,440247,476407.0,198459.0,17279.0,Urban,Approved,,879,none
3898,40.0,male,Married,graduate,NO,3,25.0,164385.0,432310.0,36,home,638.0,4,234798,123353.0,112726.0,30383.0,urban,Approved,,3897,
5968,45.0,male,Divorced,NOT GRADUATE,No,3,12.0,121422.0,424471.0,24,Personal,700.0,3,790776,145544.0,256522.0,16071.0,Semiurban,Approved,,5967,
157,62.0,,married,NOT GRADUATE,NO,4,21.0,34175.0,157890.0,36,Business,364.0,1,358868,84762.0,,49816.0,Rural,Rejected,,156,
5357,38.0,M,Single,NOT GRADUATE,NO,5,26.0,44918.0,305279.0,36,Business,719.0,1,772331,253282.0,78168.0,45318.0,Urban,Approved,,5356,N/A
411,57.0,Female,divorced,Post Graduate,No,1,27.0,69112.0,125730.0,36,Medical,422.0,4,262149,179552.0,177842.0,24983.0,Urban,Approved,,410,check
3210,40.0,MALE,Single,graduate,no,5,4.0,121551.0,350968.0,24,home,987.0,2,497269,460600.0,83795.0,5930.0,RURAL,Approved,,3209,
4978,52.0,F,Single,Graduate,no,2,4.0,43365.0,493288.0,84,Business,823.0,3,595710,172370.0,84565.0,25331.0,urban,Rejected,,4977,N/A
5235,24.0,FEMALE,divorced,NOT GRADUATE,Y,1,3.0,20569.0,69771.0,24,home,358.0,1,622071,478588.0,258281.0,23792.0,RURAL,Rejected,,5234,
1739,,MALE,Married,graduate,no,0,18.0,86830.0,412878.0,12,Medical,601.0,0,472723,446812.0,140271.0,,Urban,Approved,,1738,
3722,,M,Married,graduate,,0,14.0,111270.0,141080.0,84,Business,483.0,0,610341,73432.0,178360.0,25826.0,Rural,Approved,,6003,N/A
2612,62.0,male,Single,Graduate,N,3,29.0,30683.0,474189.0,24,Medical,537.0,1,381306,312917.0,194478.0,29413.0,semi-urban,Rejected,,2611,
